Tweets,category,misogyny,target,HS
@yumnafawaz @General_Aoun ما تطلعي لفوق يا سخيفة خليكي بمستواكي تحت، هونيك محلك.,dominance,misogyny,active,1
@berrynawal مبيضة طناجر درجة اولى,none,none,none,0
@DimaSadek لمن السيد قدم أبنوا ليحمي الوطن وين كنت أنت يا ديما كلن يعني كلن والسيد أشرف منن,none,none,none,0
@yumnafawaz لحمدالله عسلامه ❤️,none,none,none,0
"RT @JurdiWeddo: ثورة و الدني خربانة و الطرقات مقطوعة 
و مواجهات بين الجيش و المتظاهرين 

أيمتى لّحقت نانسي السبع 
تشقر شعاراتها ؟ �

#لبنان…",none,none,none,0
@yumnafawaz ناطرينك.  انزلي شوفيهم عالارض.,none,none,none,0
@ImaneIbrahim1 @yumnafawaz انت من هيدي الامة...سخيفة !!!,discredit,misogyny,active,1
@DimaSadek يا حقيرة حضري لفيديو منيح الشاب ما ضربا للبنت ونصيحه ما تلعبي مع بيت شمص انتي مش ادون يا حشرة,discredit,misogyny,active,1
@DimaSadek انت لبنانية وعايشة بلبنان وبتاخدي أخبار بلدك من رويتر يا حيوانة ����,discredit,misogyny,active,1
@DimaSadek ليش ما بتقنعي يا ست ديما؟ نحن لا نسقط، و لن نسقط تعرفون ذلك و تكابرون ، راهنتم علينا في كل المراحل و نحن أقوى و أقوى و الحمد لله،,none,none,none,0
@rolaj241 @DimaSadek مش مضطرين نتقبل حدا وكرمال هيك فلينا وعلما انا بحبو بس هيك اسلوب غير مقبول. يبلش يحاسب وزراء ونواب الحزب.,none,none,none,0
@yumnafawaz يعطيكم الف عافية يمنى والله يعوض عليكم تعبكم باحقاق الحق #لبنان_ينتفض,none,none,none,0
@NicoleHajal @DimaSadek بكتب اسمك يا بلادي. يا الله شو بلشت افتخر اني لبناني. فقدت هويتي اللي الشباب الأبطال عم يردولي ياها,none,none,none,0
We love you @DimaSadek all the support الك فضل كبير على الثورة #كلنا_ديما_صادق,none,none,none,0
@DimaSadek يعني هدول باعتهم الحزب وانتي ما حدا باعتك ان شاء الله عطوكي مطلبلك ...والله مكشوفين روحي انضبي وحذاء السيد حسن بشرفك وبشرف عيلتك,discredit,misogyny,active,1
@yumnafawaz كذابة كلن يعني كلن كلكم مرتشين ومنافقين وشذاذي الراي,discredit,misogyny,active,1
"@DimaSadek انشالله  بيقبرك  الله  يلعنك
وحدة ساقطة",damning,misogyny,active,1
@DimaSadek وديما اوسخ منن,discredit,misogyny,active,1
@DimaSadek خلص يا هبلة ولك خلص شرشحتي حالك خلص ورصاص شو بتحبي تتبهدلي,discredit,misogyny,active,1
@DimaSadek لك دخيل عينك، الله يحميكي ❤,none,none,none,0
نانسي السبع ليش محموقه هلقد ؟؟؟,none,none,none,0
@yumnafawaz @MariamAlbassam لو شو ما شفتي يا يمنى مش رح ترجعي على الجديد,none,none,none,0
@DimaSadek مش افضل الك تناقشي بدون مسخرة يعني وبن السيد حمل سلاح عل شعب اللبناني اذا بدك تقولي ٧ ايار ف بحب خبرك وا… https://t.co/LXqjmvVbg8,none,none,none,0
@Halima_Tabiaa @Nada_Andraos @DimaSadek انت بدك تعملي نشيد وطني اتعلمي الاخلاق,none,none,none,0
@DimaSadek علم الحزب صار عالمريخ يا هبلة,discredit,misogyny,active,1
@DimaSadek عبقريّة تفاهتك�,discredit,misogyny,active,1
@DimaSadek @josephinedeeb ياااعيب الشوم عاهيك ثوار ...هدول زعران ولا يهمك بينوا هني مين ولاد شوارع ...كل التحية لرقيك واحترامك,none,none,none,0
@Jessicaazar شهادة الهم مااعرف وش توجهم لكن من اليوم الاول قبل اي قناة في العالم غطوا الانتفاضه وقطعوا كل برامجهم و… https://t.co/nQ5Qw6SIVm,none,none,none,0
"@DimaSadek افتحي حضنك كل الناس بترجع .
تضربي ما أجحشك مين انتي يا حشرة لحتى تحكي باسم الكل وتقسمي الناس وتحكي باسم الناس .
انضبي يقطع عمرك",discredit,misogyny,active,1
@DimaSadek انشالله بيقبرك  وماتضلها بنفسك,damning,misogyny,active,1
@moeshamseddine @DimaSadek سافرة من بلادي,stereotyping & objectification,misogyny,active,1
@DimaSadek أهلا و سهلا بطرابلس � ضلي عيديها!,none,none,none,0
@DimaSadek ليش كان عون دايخ او بالحمامحتى جبران تصرف,none,none,none,0
@DimaSadek اخرسي و ما بقى تسمعينا صوتك!!!!,discredit,misogyny,active,1
"@wass46443840 @DimaSadek شكرا ست ديما على قولك الحقيقة 
لقد انصفت الفيحاء واهلها الطيبين
شكرا والف شكر لك ...
طرابل… https://t.co/mVRuGlnSvl",none,none,none,0
@alimouinjaber @DimaSadek @LbciLebanon خليك انت عند الصهاينة ال سعود وشو بدك ب لبنان �,none,none,none,0
@DimaSadek مافي جديد  ...سخيفة وواطية ..تفه,discredit,misogyny,active,1
@zainab_elzein @DimaSadek عن جميع الشرفاء,none,none,none,0
"@DimaSadek #ديما_الواطية 
يا ريت بتعرف تحترم حدا .. ما تلوموها .. تربايتها هيك .. هي ما بتحترم إلا ابو محمد الجولان… https://t.co/ZKkPpnPplq",discredit,misogyny,active,1
@yumnafawaz العمى ما ابشعك ! هلّق عم تستغشمي العالم لبه ما شايفين الحمامات و الشاشات والصوتيات لحقها آلاف الدولارات… https://t.co/fJ9jQzj07N,stereotyping & objectification,misogyny,active,1
@DimaSadek عنجد انك بلا فهم,discredit,misogyny,active,1
@DimaSadek واطيه برتبه صهيونيه,discredit,misogyny,active,1
@DimaSadek انتي اوسخ امرأة شفتا في حياتي روحي نامي احلا ما تسمعي اكثرمن هيك حاكي,discredit,misogyny,active,1
@berrynawal وين الصباط,none,none,none,0
@DimaSadek إعلامية صادقة انتِ يا ديما@DimaSadek,none,none,none,0
@DimaSadek يقطع عمرك م اهبلك,discredit,misogyny,active,1
@4zahri @youmna_moussawi @DimaSadek اي بتقبل اذا كانت وسخة متل ديما الواطية,discredit,misogyny,active,1
"@DimaSadek ساحة ""النور"".. نورت بحريتها كل لبنان وستبقى ساحة للنور",none,none,none,0
@RazanDk @DimaSadek هيدي وقاحة مش جرأة ..تنضب ما بدنا ياها بيناتنا ..لا هي ولا اي مستغل للثورة و متسلق لها,discredit,misogyny,active,1
@DimaSadek واحدة فاجرة صرناية ميشال عون بتشرف رقبتك,discredit,misogyny,active,1
"@DimaSadek التحريض على الجيش و قرارات القوى الأمنية مش جرم!!  اذا مش هلق بس يروق الوضع يكون هيدا إخبار واضح لتوقيفِك . 
#ديما_الواطية",discredit,misogyny,active,1
@yumnafawaz @General_Aoun ما اغلظك و ما اسمجك و ما اتفه سخافاتك,discredit,misogyny,active,1
@DimaSadek اكيد ما رح يقرب صوب جثتك لانه اكيد رح تكون طالعة ريحتك من قرفك ونجاستك,discredit,misogyny,active,1
@DimaSadek انشالله بتلف البزقة وبتجي بنص خلقتك يا شرشوحة يللا انضبي انحرق كرتك يا قبيضة السفارات,discredit,misogyny,active,1
@yumnafawaz انت عار ع الوجه الاعلامي بكل صراحة ولا فيوز,discredit,misogyny,active,1
"@DimaSadek مادام بلشت تقولي حسن نصرالله بلا سيد...
هيدا الأسلوب بالحكي معروف وين مرجعه وانتي صار معروف وين مرجعك وقديش سعرك
#بس_هيك",none,none,none,0
@yumnafawaz ابكي بترتاحي... مجربة,stereotyping & objectification,misogyny,active,1
@Jessicaazar وأثبت انو رجل ذو كرامة وأثبت الفرق بين السرَّاق والصادق وبين اللي بيحب وطنو وبين اللي عم يدمِّر وطنو,none,none,none,0
RT @AbbMahdi: @DimaSadek ما في شي اسمو انتصار للثورة الا لما يعلقوك من لسانك بساحة الشهداء #ديما_الواطية,threat of violence,misogyny,active,1
@DimaSadek فرجينا وين حتكوني بكرا بمعركة الخندق 2 ��,none,none,none,0
@yumnafawaz يا حبيبتي بما انك هلقد فهمانة وبتعرفي فا لازم تعرفي انه كل الرؤساء باغلبية خطاباتن بتكون مسجّلة يا فهمانة,none,none,none,0
@marc34160594 @DimaSadek انتو هيك ع طول بتفكرو غلط وبالاخير بتندموا .,none,none,none,0
"@yumnafawaz اعجوبة انت
سعدانة تحكي عربي
زمن",stereotyping & objectification,misogyny,active,1
"@yumnafawaz يا ويلي شو حمارة يا ويلي عم تبدعي بهالثورة
لا بتفهمي بالسياسة ولا لغات ولا معلومات عامة ولا مسلسلات ولا… https://t.co/RgOWaErfWV",discredit,misogyny,active,1
@DimaSadek تعي على النبطية حتى تشوفي كيف رح تبزق العالم بوجك يا #ديما_الشرشوحة,discredit,misogyny,active,1
@abou_bakrs2 @DimaSadek #ديما_الواطية هي من الاعلام الفاسد اللي تطبل مع الماشي وأجرتها مش قليلة ومعلمها جعجع و رأسمالها كم الف,discredit,misogyny,active,1
@elazein5 @DimaSadek صباح الخير https://t.co/6j0XdJoGSA,none,none,none,0
"@Maguuyy @spetsnaz06 #ديما_الواطية 
#ديما_الواطية",discredit,misogyny,active,1
@berrynawal @SaraAssaf يا حياتي انتي والله زعلتيني عليكي اي خللي ميشال المر يحميكي يا قلبي ��,none,none,none,0
@DimaSadek بتموتي في الشتيمة �,derailing,misogyny,active,1
@DimaSadek @yumnafawaz لا  ولو كنتي هونيك ما لان معنا خبر هاهاهاها يا شرش حة ما هلكتينا انك هونيك شو عمبت مثلي ديما الواطية بضلك واطية,discredit,misogyny,active,1
"@DimaSadek لا يا ديما البلد كلو ثورة ضدك وضد زملائك يلي بتضلي عم تتعشي معهم من اصحاب المصارف , حيتان المال والفاسدي… https://t.co/4q4p8XePsv",none,none,none,0
"@NicoleHajal اهم شي تمبسطي اقل سيارة حقا 8000$
هودي شو نازلين يعملو
أاااااااا الطبيب قلن نزلو�",none,none,none,0
@DimaSadek انت خلقتي حمارة وعشتي جحشة ولح تموتي بغلة,discredit,misogyny,active,1
@DimaSadek صرت تعرفي تحكي يا عاهرة,discredit,misogyny,active,1
@NicoleHajal هلاء هول أبطال عندكم خيطو بغير هالمسلة نحن الأبطال عنا يلي وقفو على الجبهات بسلاحهم وتصدو للعدو,none,none,none,0
@DimaSadek ما معقول ادي غبية . كيف بتحللي,discredit,misogyny,active,1
RT @SamerSa78023728: @DimaSadek انتي متعاطفة مع الشعب الفقير ?????,none,none,none,0
@yumnafawaz ساقطة إعلاميا.  انحطاط كامل,discredit,misogyny,active,1
@yumnafawaz @General_Aoun هو فوق عم يحلق بالكرامة وانت تحت الصرماية يا جرثومة,discredit,misogyny,active,1
@DimaSadek انتي موتي و كلنا منقبرك بأجرينا ما تخافي بس خلصينا منك و من هل منطق الأعوج اللي عايشي فيه!! لك أكبر الأع… https://t.co/PYRfJuYpQ3,threat of violence,misogyny,active,1
@DimaSadek ما ناوي تضبضبي يا سفيهة ما شفت كيف كان جنوب من زمان يا عمياء يا حاقدة يا خسيسة !!!!!,discredit,misogyny,active,1
@yumnafawaz يلعن حريمك متل الدكر ما عندك مراية ولو لازملك فحص دي ان اي يمكن تكوني شكر ومنك عرفانة,stereotyping & objectification,misogyny,active,1
@DimaSadek @LBCI_NEWS بس شفتي كيف بكل رواق وهدوء وثقة ضل عم يحكي بتعرفي ليش لأنو بيعرف الي بيعووا ما بيعضوا,none,none,none,0
@DimaSadek من الجنوب ما عم نسمع صواتهن الثورة نسيتهم,none,none,none,0
"@berrynawal تحية لك ولجرأتك
توخي الحذر
الله يحميكِ �❤️�",none,none,none,0
@DimaSadek ليش ما بتحترمي حالك مرة يا حيوانة,discredit,misogyny,active,1
@berrynawal الله محيي أصلك يا نوال,none,none,none,0
@yumnafawaz ما حدا غيرك وغير لمتلك لشيطنو الثورة! كنّا اول كم يوم ميتين نكون بلبنان وننزل بس هلأ انكشفت كل النوايا… https://t.co/zstb8M0n8U,none,none,none,0
"@DimaSadek حقيرة وكذابة على وزن حلوة وكذابة .....
متعجرفة ....",discredit,misogyny,active,1
@yumnafawaz ليه يا ناقصة مابتطلبي صور فيديوهات لحواجز القوات والكتائب,discredit,misogyny,active,1
"@DimaSadek #ديما_الشرشوحة
#الشرشوحة_ديما",discredit,misogyny,active,1
@HoseinMortada ايه ورسالة نانسي السبع بنقل ما يجري ابشع من الاشكال,none,none,none,0
"@ismail__ismail اذا انت واعي بس نانسي السبع ومحطتها لا زالت تؤجج الفتنة 
وفي نابلس مش بمستواك يعني بينلعب عليهن 
ال… https://t.co/ueQzMqCBYW",none,none,none,0
@DimaSadek موتي عوي قد ما بدك #ديما_الوطية,discredit,misogyny,active,1
"@DimaSadek شو هل شرشوحة لزبالة انت 
قابرك السيد جايب اجل أمك.
سرمايتو العتيقة انضف من وجك 
�",discredit,misogyny,active,1
@DimaSadek ديما خفيا شوي شجعيون يفيئو و يجو معنى ما بئى تستفزيون,none,none,none,0
"@DimaSadek ماشالله كلكم طلعتوا ممولين و مرتاحين على وضعكم لكن شو بدكم بهيدي الثورة..
و انتي لحتى ما انساكي يلعن شرفك بكعب صرمايتي..",damning,misogyny,active,1
@DimaSadek علم الحزب يا فهمانه ما حطوا لانه عم يحكي وطنيا ومشان ماحدا متلك يعترض. اذا حطوا بتعترضي واذا ما حطوا كمان بتعترضي.,none,none,none,0
@DimaSadek عودة الى الوطن,none,none,none,0
@DimaSadek سدي نيعك يا ديما صادق .,discredit,misogyny,active,1
@OmarAOkde @alizein21 @DimaSadek واطية شو بدك بالحكي�,discredit,misogyny,active,1
@DimaSadek موتي يا مريضة بغيظك,discredit,misogyny,active,1
"@DimaSadek حرية يا عزيزتي
انا حر قول يللي بدي اياه ضمن القوانين
بدك تتحملي اختلاف الرأي",none,none,none,0
@DimaSadek بعدين طلعتي على.  المسرح صار بدك تحديد من اشرف مين لاء ولووو كبراني الخسة كتير,none,none,none,0
@ritachebib41 @DimaSadek يطعمرك انت وياه وتيارو صحي مبروك باي باي عهد ����,damning,misogyny,active,1
@DimaSadek @LBCI_NEWS @JeanFeghali كل الحب وكل الاحترام وكل الصدق من تلك الكلمات الناطقة فهي تَهزُّ الجبال بصدقها و… https://t.co/0Jo33VVsTN,none,none,none,0
@DimaSadek هيدي الدوله العفيفه الشريفه متلك يا طاهره,sexual harassment,misogyny,active,1
@Jessicaazar دخلك انتي تزوجتي كرمال نقلك مبروك؟,none,none,none,0
"@NadimKoteich @DimaSadek ههههههههه
كلك عقل انت وياها 
يا شاطر انت وياها من صبيان السفارات
بمشيكم الريال",none,none,none,0
@raniagmailcom1 @DimaSadek صباح المودة والمحبة صباح الامل,none,none,none,0
@kurdi_fidele @yumnafawaz وبالطبيعي في كبش فدا,none,none,none,0
"@yumnafawaz انت مين بسوقك؟ علفك مين بيدفع حقه
صحافة مأجورة",discredit,misogyny,active,1
@DimaSadek @washingtonpost @elopezgross #ديما_الواطية شرشوحة السياسيين الفاسدين الناهبين,discredit,misogyny,active,1
@Leila1H @assia_m @yumnafawaz يخرب ذوقك شو ذكية، ناطرينك بهوليوود,none,none,none,0
"@DimaSadek غشيمة. الظاهر مكنتي مركزي بكلامو منيح.
#سيد_العشق",discredit,misogyny,active,1
"@DimaSadek ممن ؟؟؟ (اسما كلن) ...ليش عم ترجفي انتي وعم تنزلي التويت ؟ � 
#آه_يا_هبيلة
#ديما_الواطية",discredit,misogyny,active,1
"ضبّوا بنت الكلب الصهيونية #ديما_الواطية
@DimaSadek",discredit,misogyny,active,1
"@yumnafawaz @saadhariri لن يحصل يمنى
كوني على ثقة",none,none,none,0
@yumnafawaz انت لو بتضلك بشغلك وبتخففي لعي بيكون أحسن العما على التفاهة,discredit,misogyny,active,1
@DimaSadek عطيهن من دمك السميك يا عاهرة,discredit,misogyny,active,1
@yumnafawaz واللي سكر الطريق وكان مع التسكير يسكر شراين قلبو وانتي معوه يمنه الفاشلة والمأجورة سعرك معروف بكم,discredit,misogyny,active,1
@DimaSadek ولك حاج تدجلي لعما بقلبك شو مسطولة,discredit,misogyny,active,1
"ما حدا يلوم ديما صادق، لأن إذا ما حكت عن صرماية السيد بتتشردق ب سمها و بتموت
@DimaSadek
#ديما_الواطية",discredit,misogyny,active,1
@yumnafawaz وانا وأرفع دعوة عليك وعلى قناة الفتنة بالتحريض على قطع الطرق أمام المواطنين اللبنانيين .,none,none,none,0
@berrynawal تستهلي لأنك كلبه,discredit,misogyny,active,1
@yumnafawaz لو بتعيريناسكوتك. مين أنت تتمسخري عالرئيس   مفكرة حالك مهضومة؟,discredit,misogyny,active,1
@DimaSadek يعني انو فيديو حدا بيعملو بهالطريقة انو خلص يعني انو ما في سفارات بكل الاحوال رأيكم ونحترمه بس عم تتعبو حالكن,none,none,none,0
@yumnafawaz برافو يمنى.. هذه استراحة محارب,none,none,none,0
@DimaSadek اوقح البشر انت,discredit,misogyny,active,1
@berrynawal وانتي اكتر اعلامية موضوعية وحيادية بتوصلي رسالتك بكل اماني،منحبك نوال,none,none,none,0
@yumnafawaz احترمي حالك يا حيوانة,discredit,misogyny,active,1
"@nasiro13182237 @DimaSadek الله يرحم امها كانت معلمة ثانوي
10/10
ممثلة جيدة",none,none,none,0
@DimaSadek شو رأيك تحملي مسطرة وتضربينا ديدي وتعلمينا شو نحكي �، نحنا بنحكي عذوقنا من دون ما تيجينا اوراق مطبوعة من… https://t.co/mlNCaQTJcn,discredit,misogyny,active,1
@DimaSadek وحده واطيه كيف بدنا نصدقها,discredit,misogyny,active,1
"@yumnafawaz بس فعلا مظاهرة ضخمة ببعبدا
الاحتفال بدا والحشود لا زالت على الطريق",none,none,none,0
نانسي السبع كركوبة.,discredit,misogyny,active,1
"@DimaSadek 

ديما كل الاحرار بيحبوكي",none,none,none,0
@DimaSadek يا حقيرة سلاح عن سلاح بيفرق يعني سلاح بيقتل على الهوية وسلاح بدافع عن كل هوية �,discredit,misogyny,active,1
@yumnafawaz احقر منك ما في يا سعدانة,discredit,misogyny,active,1
@Jessicaazar كلام منطقي وصحيح السلطةبجميع اركانها عصابة حرمية يتقاسمون قالب. الحلوى سويا.  يسعد. مساك جسيكا، لا ترحمى احدا.,none,none,none,0
@yumnafawaz بتقدري تقري حضرتك بدون ولا غلطة؟,none,none,none,0
@berrynawal أنشالله رصاصة بقالبك,damning,misogyny,active,1
@joellebouyounes من شو حضرتك غير مطمئنة؟ ���,none,none,none,0
"@Zaynab1298 @DimaSadek من ريفي مباشر اليكم يا اهل النبطية بصوت ديما الليلة ..
ترقبو غدا نشيد الثورة ديو  فضل شاكر و ديما",none,none,none,0
@yumnafawaz يا عيب الشوم انت خرجك تكوني بزريبة خنازير و تحكي اعلام.وقحة واطية عاهرة اعلامية صرماية كركمة كمخة زبالة حقودة عميا,discredit,misogyny,active,1
"@DimaSadek حرية تعبير يا شاطرة..
أو هدول الشباب ما بحقلون يعبروا عن رأين",none,none,none,0
@DimaSadek انت كلبة وبتسوي صرماية يا عاهرة يا حيوانة,discredit,misogyny,active,1
@NicoleHajal ♥️ وانت اعلامية نضيفة,none,none,none,0
@joellebouyounes @adelkaram9 بعد حلقة بيت الكل برهنتي للجميع إنك شخص محترم. الله ومار شربل يحموكي يا أحلى جويل.,none,none,none,0
@DimaSadek نورتي الدار اهلا وسهلا فيكي @ Dimasadek,none,none,none,0
"@DimaSadek @LbciLebanon @LBCI_NEWS @JeanFeghali انتبهي من كتر النفخ
رح يفقعوا خدودك",stereotyping & objectification,misogyny,active,1
@DimaSadek يا عمي ديما صادق بدها تنشهر و صدقوني لما انتشر هاشتاغ الواطية ديما، ديما كتير كانت مبسوطة انو هي تريند.… https://t.co/J2ZlEEPQrz,derailing,misogyny,active,1
@yumnafawaz @rayaelhassan بلكي لان واعدي حالا برئاسة حكومه؟!,none,none,none,0
@DimaSadek @LBCI_NEWS انتٍ كتير شاطرة بتييض الوج ☻�☻,none,none,none,0
@DimaSadek شكرا عالصورة الحلوه، اجمل صورة بالتاريخ,none,none,none,0
@DimaSadek بصراحة بلشنا نشك إنك جزء من الثورة كونك دايما بتحرفي الأنظار عن المطلب الحقيقي,none,none,none,0
@NicoleHajal @DimaSadek ماشالله عليك شو غبية.,discredit,misogyny,active,1
@DimaSadek مبسوطة بالفوضى اللي عم تصير ؟ اللي معو مصاري  وعايش بنعيم وقت اللي بتتأزم بحط حالو بالطيارة وبفل  اللي م… https://t.co/M5Hi45Obuj,none,none,none,0
@rabihdamaj @DimaSadek @FaresHalabi شو بدو يقول غير هيك؟؟ ما شاطرين الا بتخوين العالم، هني الشرفا الوحيدين بالكون,none,none,none,0
@DimaSadek لك احترامي على شجاعتك اتجاه الحرية,none,none,none,0
@ramezelkadi والله أحلى نكتة هي! قلتلي لو كان يعلم! ما عاساس هو مش تابعين للحزب (هيك قالت نانسي السبع، زميلتك ما حد… https://t.co/LJGMT3CFD9,none,none,none,0
@yumnafawaz عقبال القتلة الجاية ههههه,threat of violence,misogyny,active,1
"@DimaSadek يا ريت تنشريلنا رقمك
 
لنتسلى عليكي بالتفلون",sexual harassment,misogyny,active,1
@DimaSadek روحي ضبي حالك  تاريخك معروف شو ومين يلي عم يخليك تعوي عوي بمطرح تاني يا زبالي,discredit,misogyny,active,1
@DimaSadek #ديما_الوطية هيدا انتصار يا غشيمة فلننتظر,discredit,misogyny,active,1
@DimaSadek ما تنسي أنك شرشوحة كمان يا حمالة الحطب  والله ما تضلك تنبحي متل الكلبة مش رح يلكشك بصباتة ويجيب اسمك على تمه لو بتموتي ������,discredit,misogyny,active,1
@DimaSadek كل يوم إثبات جديد على مصداقيتك...,none,none,none,0
@goemardo وبرافووو نانسي السبع,none,none,none,0
@NicoleHajal هاي لقينا قائدة للثورة,none,none,none,0
@DimaSadek انقعي حفاض رجال كبير بالسن عاملها تحته! مرتين باليوم الصبح على الريق وقبل النوم وبتتحسن حالتك يا تشي غيفارا يا ثورجية انت!,discredit,misogyny,active,1
"@yumnafawaz ليكو أم نص لسان عم تتطاول على الرئيس.
روحي انضبي يا تافهة.",stereotyping & objectification,misogyny,active,1
"@DimaSadek الله يقويكي 
Dima
هذه أنفس مريضة وعلاجها صعب",none,none,none,0
@DimaSadek هههههه ابكي بترتاحي يا بايب وحيضل شوكة بعينك انقبري روحي انضبي يا  #واطية,discredit,misogyny,active,1
@DimaSadek عندما يكون الخطاب حزبوي يضع علم حزب الله وعندما يكون وطني يضع علم لبنان يا مثقفة يا متعلمة يا عاهرة الاعلام,discredit,misogyny,active,1
@abirmmmm @DimaSadek شيلي علم لبنان وحطي صورة زعيمك يلي جوعك أشرفلك ، أنا لبناني حر ولست تابع لأحد.,none,none,none,0
@DimaSadek اهلا وسهلا فيكي بطرابلس,none,none,none,0
@ANTOUN2222 @DimaSadek @EddeRoger معاشنا بخلص بنص الشهر..ونازلين ليتظاهرو لأن ما في مصاري وما في شغل..وآخر شي بقولو… https://t.co/90di0nqxHA,none,none,none,0
@DimaSadek منرجع منقلك بتنقبري بتقولي سماحة السيد,discredit,misogyny,active,1
"@yumnafawaz انت اعرفي قولي جملة واحدة بلا ما تقرطي الأحرف بلسانك،
ارجعي قولي ع غيرك اذا فيه يقول خطاب او لأ.
ألقى خ… https://t.co/Pb3lkIVnB2",none,none,none,0
@NicoleHajal @LbciLebanon يعطيكي الف عافية.. وصلت,none,none,none,0
@DimaSadek من طرابلس الكرامة و الشرف من ساحة الشرف ساحة النور الف تحية  لك ديما صادق @DimaSadek و الى ثوار بيروت في… https://t.co/ztkz2dRzRC,none,none,none,0
@NicoleHajal انتبهي لحالك روح قلبي نيقول,none,none,none,0
@yumnafawaz @4zahri من وين معلوماتك تانت يمنى ؟,none,none,none,0
@SouhadElias @yumnafawaz @dianamoukalled شوفيلي دخلك هيدا من القوات � https://t.co/WpBoVhwbFD,none,none,none,0
@bayan2sy @DimaSadek لا حبي هيك مكتوب مو لانو جاي عبالنا صفيحة�,none,none,none,0
@berrynawal هوي اقل شي البزقه بوجك والصباط ضيعانو فيكي ولازم ينعمل حلي لهي البنات المشلفة بكفي بقا,derailing,misogyny,active,1
@Abbass_hodroj @DimaSadek @washingtonpost @elopezgross هي وحده عميله صغيرة بتروح دعوسة,discredit,misogyny,active,1
@Jessicaazar ست جسيكا فيكي تخبرينا كيف كان ترشيحك للمجلس النيابة وبأي لائحة ... يعني ما تحكي بكسر حواجز الطائفية .ب… https://t.co/L5WiHgfvKR,none,none,none,0
"@CharlyTweetin ����
الليلة بدّي احضر @yumnafawaz عم تحلل المظاهرات بفيلم Argo يللي مثل فيه جيمس دين وجيرارد دوبارديو",none,none,none,0
@DimaSadek ذكاء فادح ديعانك بهل بلد,none,none,none,0
@DimaSadek الجماعة ما عندن شي غير المسبات افلاسهن ما رح يرهبنا واكيد ما رح يرهبك,none,none,none,0
"@DimaSadek خبريني شو عملتي بحالك بش لحتى تغيرتي 
@yumnafawaz https://t.co/FOwkOg42lv",none,none,none,0
@ballootsindyan @DimaSadek عيب تحكو ع يلي سرق البلد,none,none,none,0
@DimaSadek اي روحي رقصيلن,stereotyping & objectification,misogyny,active,1
@joellebouyounes @adelkaram9 انت كمان بتفرضي الاحترام، وليه بيسترجي بعد الوقفات الجريئة بين المعتصمين الوقحين يللي كنت قدهم,none,none,none,0
@joellebouyounes بطلة وخليكي هيك وما يهمك حدا ،العدرا معك,none,none,none,0
@DimaSadek دمدوم يا ريت حضرتي ماتش برشلونة كنت غيرتي جو شوي بعد جو الثورة.,none,none,none,0
@DimaSadek انتي متاكدة انك ما نجحتي بالواسطة ؟,discredit,misogyny,active,1
"@yumnafawaz @berrynawal منحب نعرف مشروعك
كونك عبقرية ومن قيادة الثورة
وما كتبت الكلمة التانية لقيادة بتعرفيها
احسن… https://t.co/H40UuSQvX7",none,none,none,0
@yumnafawaz @saadhariri طيب عالقليلة تزبط معك شي خبرية وحدة شي يوم! https://t.co/65dP6fON2A,none,none,none,0
@DimaSadek واطية وطرشا كمان � #ديما_الواطية,discredit,misogyny,active,1
@joellebouyounes الله يحميها من ولاد الحرام وهولا معروفين الخوات اكيد اكيد اكيد,none,none,none,0
RT @HananeKhalife: تحية تقدير للاعلامية نانسي السبع لموقفها الوطني في اشكال رياض الصلح.,none,none,none,0
@DimaSadek حلمك ما رح يتحقق يا خاينة,discredit,misogyny,active,1
@DimaSadek يا ريتك كنتي بالنبطية كان على بالي تجي شي عصاية على راسك لترتاح العالم من قرفك ��,threat of violence,misogyny,active,1
RT @P_khaledkhoder: @baselhajar34 @DimaSadek ديما صادق وجه التفائل  #كلنا_ديما_صادق,none,none,none,0
@DimaSadek ألف تحية لك ولهذه الثورة المجيدة كلن يعني كلن وأنتي اشرف منن افضحي أفعالهم لم يعد لديهم شيئ ليقولونه سوى… https://t.co/kw05BjNtCf,none,none,none,0
@samarabukhalil لن اقول للاسف بعدما اعتبرت لمدة عشرين عام ان الجديد المنبر الإعلامي الحر الاول والاخير على الساحة ا… https://t.co/GsQERIrke2,none,none,none,0
@DimaSadek العمى بقلبك شو عا.......  شسع نعل سماحته اشرف من راسك يا #ديما_الساقطة,discredit,misogyny,active,1
@DimaSadek وحشة ما بينخاف عليكِ,none,none,none,0
@DimaSadek سكري حلقك وخرسي ��,discredit,misogyny,active,1
@DimaSadek وهيدي بتنعش ذاكرتك اكثر يا #ديما_الواطيه,discredit,misogyny,active,1
@DimaSadek تلحسي بعضك هلا صار الحريري هو سبب الخراب في لبنان مهو مش عارف الله وين حاطه,discredit,misogyny,active,1
@DimaSadek ديما .... انتي مشكلك مع جبران باسيل ...او بتقولي كلن يعني كلن ...و نبيه بري واحد منن ؟؟,none,none,none,0
@Jessicaazar انت يا وسخة عم تحكي؟ بخري تمك قبل ما تجيبي سيرة رئيس الجمهورية على لسانك يا وسخة رَوحي انضبي احسنلك,discredit,misogyny,active,1
"@NicoleHajal @LbciLebanon شكرا 
تقرير ممتاز، من القلب والروح
لا بد أن يعزل المتاجرون ببضاعة الطائفية ومحازيبها
ليتح… https://t.co/u09R6jA9ra",none,none,none,0
@berrynawal يقطع عمرك شو حمارة,discredit,misogyny,active,1
